ReviewID,vader_neg,vader_neu,vader_pos,vader_compound,roberta_neg,roberta_neu,roberta_pos,roberta_classification,vader_classification,CourseId,Review,Label,detected_language,translated_review,translated_review_lower,translated_review_tokenized,translated_review_removed_stopwords,stemmed_translated_review,lemmatized_translated_review
11,0.0,0.283,0.717,0.8225,0.004895358812063932,0.014357727020978928,0.9807469248771667,1.0,1.0,2-speed-it,Excellent course and teachers. Congratulations!!,5,en,Excellent course and teachers. Congratulations!!,excellent course and teachers congratulations,"['excellent', 'course', 'and', 'teachers', 'congratulations']","['excellent', 'course', 'teachers', 'congratulations']","['excel', 'cours', 'teacher', 'congratul']","['excellent', 'course', 'teacher', 'congratulation']"
12,0.0,0.775,0.225,0.4404,0.009530412964522839,0.16800133883953094,0.8224682807922363,1.0,1.0,2-speed-it,This is a good course for an CIO in a non technical company.,5,en,This is a good course for an CIO in a non technical company.,this is a good course for an cio in a non technical company,"['this', 'is', 'a', 'good', 'course', 'for', 'an', 'cio', 'in', 'a', 'non', 'technical', 'company']","['good', 'course', 'cio', 'non', 'technical', 'company']","['good', 'cours', 'cio', 'non', 'technic', 'compani']","['good', 'course', 'cio', 'non', 'technical', 'company']"
13,0.179,0.748,0.073,-0.4308,0.6820849776268005,0.2777121961116791,0.04020274057984352,-1.0,-1.0,2-speed-it,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",3,en,"Good content, but the course setting does (at least for me) not allow learn the content long term due to missing reading material.",good content but the course setting does at least for me not allow learn the content long term due to missing reading material,"['good', 'content', 'but', 'the', 'course', 'setting', 'does', 'at', 'least', 'for', 'me', 'not', 'allow', 'learn', 'the', 'content', 'long', 'term', 'due', 'to', 'missing', 'reading', 'material']","['good', 'content', 'course', 'setting', 'least', 'allow', 'learn', 'content', 'long', 'term', 'due', 'missing', 'reading', 'material']","['good', 'content', 'cours', 'set', 'least', 'allow', 'learn', 'content', 'long', 'term', 'due', 'miss', 'read', 'materi']","['good', 'content', 'course', 'set', 'least', 'allow', 'learn', 'content', 'long', 'term', 'due', 'miss', 'reading', 'material']"
14,0.0,0.557,0.443,0.6771,0.004507724661380053,0.05403347313404083,0.9414588212966919,1.0,1.0,2-speed-it,Very structured approach. Thank you for sharing with me.,5,en,Very structured approach. Thank you for sharing with me.,very structured approach thank you for sharing with me,"['very', 'structured', 'approach', 'thank', 'you', 'for', 'sharing', 'with', 'me']","['structured', 'approach', 'thank', 'sharing']","['structur', 'approach', 'thank', 'share']","['structure', 'approach', 'thank', 'share']"
15,0.0,0.0,1.0,0.5719,0.00535132922232151,0.029466386884450912,0.9651823043823242,1.0,1.0,2-speed-it,Excellent !!!,5,de,Excellent !!!,excellent ,['excellent'],['excellent'],['excel'],['excellent']
16,0.032,0.925,0.043,0.1796,0.07549188286066055,0.8296682238578796,0.094839908182621,0.0,1.0,2-speed-it,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",4,en,"Program demystifies the evolving world of CIOs in a typical global corporation.Coverage being introductory familiarizes participants nicely through some of the nuances & emerging trends.When I took the course participant numbers was fewer, so feedback was quite delayed. So one should plan to be patient to get their peer reviews.Based on peer reviews i sensed much variations in their expectations.Few sections are in French with Subtitles.Subtitle quality requires audit/review.",program demystifies the evolving world of cios in a typical global corporationcoverage being introductory familiarizes participants nicely through some of the nuances  emerging trendswhen i took the course participant numbers was fewer so feedback was quite delayed so one should plan to be patient to get their peer reviewsbased on peer reviews i sensed much variations in their expectationsfew sections are in french with subtitlessubtitle quality requires auditreview,"['program', 'demystifies', 'the', 'evolving', 'world', 'of', 'cios', 'in', 'a', 'typical', 'global', 'corporationcoverage', 'being', 'introductory', 'familiarizes', 'participants', 'nicely', 'through', 'some', 'of', 'the', 'nuances', 'emerging', 'trendswhen', 'i', 'took', 'the', 'course', 'participant', 'numbers', 'was', 'fewer', 'so', 'feedback', 'was', 'quite', 'delayed', 'so', 'one', 'should', 'plan', 'to', 'be', 'patient', 'to', 'get', 'their', 'peer', 'reviewsbased', 'on', 'peer', 'reviews', 'i', 'sensed', 'much', 'variations', 'in', 'their', 'expectationsfew', 'sections', 'are', 'in', 'french', 'with', 'subtitlessubtitle', 'quality', 'requires', 'auditreview']","['program', 'demystifies', 'evolving', 'world', 'cios', 'typical', 'global', 'corporationcoverage', 'introductory', 'familiarizes', 'participants', 'nicely', 'nuances', 'emerging', 'trendswhen', 'took', 'course', 'participant', 'numbers', 'fewer', 'feedback', 'quite', 'delayed', 'one', 'plan', 'patient', 'get', 'peer', 'reviewsbased', 'peer', 'reviews', 'sensed', 'much', 'variations', 'expectationsfew', 'sections', 'french', 'subtitlessubtitle', 'quality', 'requires', 'auditreview']","['program', 'demystifi', 'evolv', 'world', 'cio', 'typic', 'global', 'corporationcoverag', 'introductori', 'familiar', 'particip', 'nice', 'nuanc', 'emerg', 'trendswhen', 'took', 'cours', 'particip', 'number', 'fewer', 'feedback', 'quit', 'delay', 'one', 'plan', 'patient', 'get', 'peer', 'reviewsbas', 'peer', 'review', 'sens', 'much', 'variat', 'expectationsfew', 'section', 'french', 'subtitlessubtitl', 'qualiti', 'requir', 'auditreview']","['program', 'demystifies', 'evolve', 'world', 'cio', 'typical', 'global', 'corporationcoverage', 'introductory', 'familiarizes', 'participant', 'nicely', 'nuance', 'emerge', 'trendswhen', 'take', 'course', 'participant', 'number', 'few', 'feedback', 'quite', 'delayed', 'one', 'plan', 'patient', 'get', 'peer', 'reviewsbased', 'peer', 'review', 'sense', 'much', 'variation', 'expectationsfew', 'section', 'french', 'subtitlessubtitle', 'quality', 'require', 'auditreview']"
17,0.0,0.213,0.787,0.5719,0.007108580786734819,0.04401753470301628,0.9488738775253296,1.0,1.0,2-speed-it,Excellent Course,5,de,Excellent Course,excellent course,"['excellent', 'course']","['excellent', 'course']","['excel', 'cours']","['excellent', 'course']"
18,0.0,0.689,0.311,0.4877,0.005160219501703978,0.06012818589806557,0.9347115159034729,1.0,1.0,2-speed-it,Very relevant and useful course designed for CIOs,5,en,Very relevant and useful course designed for CIOs,very relevant and useful course designed for cios,"['very', 'relevant', 'and', 'useful', 'course', 'designed', 'for', 'cios']","['relevant', 'useful', 'course', 'designed', 'cios']","['relev', 'use', 'cours', 'design', 'cio']","['relevant', 'useful', 'course', 'design', 'cio']"
19,0.0,1.0,0.0,0.0,0.39897269010543823,0.5776207447052002,0.02340657263994217,0.0,0.0,2-speed-it,This course does not say anything about digitization which is the core subject of the digital wave.,2,en,This course does not say anything about digitization which is the core subject of the digital wave.,this course does not say anything about digitization which is the core subject of the digital wave,"['this', 'course', 'does', 'not', 'say', 'anything', 'about', 'digitization', 'which', 'is', 'the', 'core', 'subject', 'of', 'the', 'digital', 'wave']","['course', 'say', 'anything', 'digitization', 'core', 'subject', 'digital', 'wave']","['cours', 'say', 'anyth', 'digit', 'core', 'subject', 'digit', 'wave']","['course', 'say', 'anything', 'digitization', 'core', 'subject', 'digital', 'wave']"
20,0.0,1.0,0.0,0.0,0.05181291326880455,0.8597646951675415,0.08842238783836365,0.0,0.0,2-speed-it,Videos that are presented in French could've been translated to English.,4,en,Videos that are presented in French could've been translated to English.,videos that are presented in french couldve been translated to english,"['videos', 'that', 'are', 'presented', 'in', 'french', 'couldve', 'been', 'translated', 'to', 'english']","['videos', 'presented', 'french', 'couldve', 'translated', 'english']","['video', 'present', 'french', 'couldv', 'translat', 'english']","['video', 'present', 'french', 'couldve', 'translate', 'english']"
21,0.059,0.839,0.103,0.3354,0.6922600865364075,0.2648961544036865,0.04284384474158287,-1.0,1.0,2-speed-it,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",3,en,"The course content is quite good, though it could have been deeper in some areas.But its peer review system is not working well, if at all.Regards, An Le.",the course content is quite good though it could have been deeper in some areasbut its peer review system is not working well if at allregards an le,"['the', 'course', 'content', 'is', 'quite', 'good', 'though', 'it', 'could', 'have', 'been', 'deeper', 'in', 'some', 'areasbut', 'its', 'peer', 'review', 'system', 'is', 'not', 'working', 'well', 'if', 'at', 'allregards', 'an', 'le']","['course', 'content', 'quite', 'good', 'though', 'could', 'deeper', 'areasbut', 'peer', 'review', 'system', 'working', 'well', 'allregards', 'le']","['cours', 'content', 'quit', 'good', 'though', 'could', 'deeper', 'areasbut', 'peer', 'review', 'system', 'work', 'well', 'allregard', 'le']","['course', 'content', 'quite', 'good', 'though', 'could', 'deeper', 'areasbut', 'peer', 'review', 'system', 'work', 'well', 'allregards', 'le']"
22,0.0,0.556,0.444,0.8016,0.006147825159132481,0.01751045323908329,0.976341724395752,1.0,1.0,2-speed-it,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",5,en,"Great piece of work, I especially liked a few 'lifehacks' for the CIO",great piece of work i especially liked a few lifehacks for the cio,"['great', 'piece', 'of', 'work', 'i', 'especially', 'liked', 'a', 'few', 'lifehacks', 'for', 'the', 'cio']","['great', 'piece', 'work', 'especially', 'liked', 'lifehacks', 'cio']","['great', 'piec', 'work', 'especi', 'like', 'lifehack', 'cio']","['great', 'piece', 'work', 'especially', 'like', 'lifehacks', 'cio']"
23,0.0,0.695,0.305,0.9273,0.003969790413975716,0.012126762419939041,0.9839034080505371,1.0,1.0,2-speed-it,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",5,en,"Excellent course, for me it was very rewarding and the terms used and the tools given were excellent, and today and I put in use in my job, Thank you for inculcating knowledge and move on",excellent course for me it was very rewarding and the terms used and the tools given were excellent and today and i put in use in my job thank you for inculcating knowledge and move on,"['excellent', 'course', 'for', 'me', 'it', 'was', 'very', 'rewarding', 'and', 'the', 'terms', 'used', 'and', 'the', 'tools', 'given', 'were', 'excellent', 'and', 'today', 'and', 'i', 'put', 'in', 'use', 'in', 'my', 'job', 'thank', 'you', 'for', 'inculcating', 'knowledge', 'and', 'move', 'on']","['excellent', 'course', 'rewarding', 'terms', 'used', 'tools', 'given', 'excellent', 'today', 'put', 'use', 'job', 'thank', 'inculcating', 'knowledge', 'move']","['excel', 'cours', 'reward', 'term', 'use', 'tool', 'given', 'excel', 'today', 'put', 'use', 'job', 'thank', 'inculc', 'knowledg', 'move']","['excellent', 'course', 'reward', 'term', 'use', 'tool', 'give', 'excellent', 'today', 'put', 'use', 'job', 'thank', 'inculcate', 'knowledge', 'move']"
24,0.0,0.551,0.449,0.886,0.0024349321611225605,0.02177594043314457,0.9757890701293945,1.0,1.0,2-speed-it,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",4,en,"Excellent... It is a representation of our day by day, thanks for sharing your vision, experience and advices...RegardsDaniel Damas",excellent it is a representation of our day by day thanks for sharing your vision experience and advicesregardsdaniel damas,"['excellent', 'it', 'is', 'a', 'representation', 'of', 'our', 'day', 'by', 'day', 'thanks', 'for', 'sharing', 'your', 'vision', 'experience', 'and', 'advicesregardsdaniel', 'damas']","['excellent', 'representation', 'day', 'day', 'thanks', 'sharing', 'vision', 'experience', 'advicesregardsdaniel', 'damas']","['excel', 'represent', 'day', 'day', 'thank', 'share', 'vision', 'experi', 'advicesregardsdaniel', 'dama']","['excellent', 'representation', 'day', 'day', 'thanks', 'share', 'vision', 'experience', 'advicesregardsdaniel', 'dama']"
25,0.0,0.572,0.428,0.4576,0.004017500672489405,0.022519145160913467,0.9734632968902588,1.0,1.0,2-speed-it,Very interesting and well-designed MOOC !,5,en,Very interesting and well-designed MOOC !,very interesting and welldesigned mooc ,"['very', 'interesting', 'and', 'welldesigned', 'mooc']","['interesting', 'welldesigned', 'mooc']","['interest', 'welldesign', 'mooc']","['interest', 'welldesigned', 'mooc']"
26,0.0,0.152,0.848,0.6808,0.00620185537263751,0.0459611639380455,0.9478370547294617,1.0,1.0,20cnwm,good and interesting,5,en,good and interesting,good and interesting,"['good', 'and', 'interesting']","['good', 'interesting']","['good', 'interest']","['good', 'interest']"
27,0.0,0.866,0.134,0.4754,0.0026195154059678316,0.01875031553208828,0.9786301255226135,1.0,1.0,20cnwm,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",5,en,"This class is very helpful to me. Currently, I'm still learning this class which makes up a lot of basic music knowledge.",this class is very helpful to me currently im still learning this class which makes up a lot of basic music knowledge,"['this', 'class', 'is', 'very', 'helpful', 'to', 'me', 'currently', 'im', 'still', 'learning', 'this', 'class', 'which', 'makes', 'up', 'a', 'lot', 'of', 'basic', 'music', 'knowledge']","['class', 'helpful', 'currently', 'im', 'still', 'learning', 'class', 'makes', 'lot', 'basic', 'music', 'knowledge']","['class', 'help', 'current', 'im', 'still', 'learn', 'class', 'make', 'lot', 'basic', 'music', 'knowledg']","['class', 'helpful', 'currently', 'im', 'still', 'learn', 'class', 'make', 'lot', 'basic', 'music', 'knowledge']"
28,0.0,0.837,0.163,0.765,0.005721488036215305,0.08243617415428162,0.9118422865867615,1.0,1.0,2d-cad,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises.",5,en,"Well-presented contents with comprehensive illustrations and easy to follow, cover in proper order every aspect of drawing and AutoCAD. Would appreciate if the English subtitle is available in the whole course, so more students could access to these handy lectures and exercises.",wellpresented contents with comprehensive illustrations and easy to follow cover in proper order every aspect of drawing and autocad would appreciate if the english subtitle is available in the whole course so more students could access to these handy lectures and exercises,"['wellpresented', 'contents', 'with', 'comprehensive', 'illustrations', 'and', 'easy', 'to', 'follow', 'cover', 'in', 'proper', 'order', 'every', 'aspect', 'of', 'drawing', 'and', 'autocad', 'would', 'appreciate', 'if', 'the', 'english', 'subtitle', 'is', 'available', 'in', 'the', 'whole', 'course', 'so', 'more', 'students', 'could', 'access', 'to', 'these', 'handy', 'lectures', 'and', 'exercises']","['wellpresented', 'contents', 'comprehensive', 'illustrations', 'easy', 'follow', 'cover', 'proper', 'order', 'every', 'aspect', 'drawing', 'autocad', 'would', 'appreciate', 'english', 'subtitle', 'available', 'whole', 'course', 'students', 'could', 'access', 'handy', 'lectures', 'exercises']","['wellpres', 'content', 'comprehens', 'illustr', 'easi', 'follow', 'cover', 'proper', 'order', 'everi', 'aspect', 'draw', 'autocad', 'would', 'appreci', 'english', 'subtitl', 'avail', 'whole', 'cours', 'student', 'could', 'access', 'handi', 'lectur', 'exercis']","['wellpresented', 'content', 'comprehensive', 'illustration', 'easy', 'follow', 'cover', 'proper', 'order', 'every', 'aspect', 'draw', 'autocad', 'would', 'appreciate', 'english', 'subtitle', 'available', 'whole', 'course', 'student', 'could', 'access', 'handy', 'lecture', 'exercise']"
29,0.0,1.0,0.0,0.0,0.15880811214447021,0.7560838460922241,0.08510804176330566,0.0,0.0,2d-cad,Very Basic course for learners without Autocad experiences.,5,en,Very Basic course for learners without Autocad experiences.,very basic course for learners without autocad experiences,"['very', 'basic', 'course', 'for', 'learners', 'without', 'autocad', 'experiences']","['basic', 'course', 'learners', 'without', 'autocad', 'experiences']","['basic', 'cours', 'learner', 'without', 'autocad', 'experi']","['basic', 'course', 'learner', 'without', 'autocad', 'experience']"
30,0.0,0.446,0.554,0.7351,0.023424234241247177,0.2019125074148178,0.7746632099151611,1.0,1.0,2d-cad,简单易懂，实用性很强,5,zh,"Simple and easy to understand, strong practicality",simple and easy to understand strong practicality,"['simple', 'and', 'easy', 'to', 'understand', 'strong', 'practicality']","['simple', 'easy', 'understand', 'strong', 'practicality']","['simpl', 'easi', 'understand', 'strong', 'practic']","['simple', 'easy', 'understand', 'strong', 'practicality']"
31,0.0,0.716,0.284,0.7469,0.01215744111686945,0.08610057830810547,0.9017419815063477,1.0,1.0,2d-cad,觉得是很基础的东西，但是听了还是有很多新的收获，谢谢老师。,5,zh,"I think it is a very basic thing, but I still have a lot of new gains after listening, thank you teacher.",i think it is a very basic thing but i still have a lot of new gains after listening thank you teacher,"['i', 'think', 'it', 'is', 'a', 'very', 'basic', 'thing', 'but', 'i', 'still', 'have', 'a', 'lot', 'of', 'new', 'gains', 'after', 'listening', 'thank', 'you', 'teacher']","['think', 'basic', 'thing', 'still', 'lot', 'new', 'gains', 'listening', 'thank', 'teacher']","['think', 'basic', 'thing', 'still', 'lot', 'new', 'gain', 'listen', 'thank', 'teacher']","['think', 'basic', 'thing', 'still', 'lot', 'new', 'gain', 'listen', 'thank', 'teacher']"
32,0.0,0.829,0.171,0.4754,0.0037820658180862665,0.06966432183980942,0.9265536069869995,1.0,1.0,2d-cad,学到了许多实用的技巧，对工程思维的培养有很大帮助,5,zh,"After learning a lot of practical skills, it is very helpful for the cultivation of engineering thinking",after learning a lot of practical skills it is very helpful for the cultivation of engineering thinking,"['after', 'learning', 'a', 'lot', 'of', 'practical', 'skills', 'it', 'is', 'very', 'helpful', 'for', 'the', 'cultivation', 'of', 'engineering', 'thinking']","['learning', 'lot', 'practical', 'skills', 'helpful', 'cultivation', 'engineering', 'thinking']","['learn', 'lot', 'practic', 'skill', 'help', 'cultiv', 'engin', 'think']","['learn', 'lot', 'practical', 'skill', 'helpful', 'cultivation', 'engineering', 'think']"
